processid	sampleid	bin_uri	genus_name	lat	lon
ACRJP1046-23	BC-MNHNJP1389	BOLD:AAD6013	Acraea	1.25	30.883
ASARD2237-12	INB0003720014	BOLD:AAB3218	Danaus	8.992	-83.527
BBTH979-17	CCDB-26501-G3	BOLD:ABX5122	NA	14.5186	101.037
BLPAA38922-22	21-SRNP-35024	BOLD:AAA6396	NA	10.929	-85.464
BPAL3012-15	CCDB-25450 F07	BOLD:AAA9312	Brenthis	39.5333	45.7833
BPAL3491-16	CCDB-25456 F11	BOLD:AAA9312	Brenthis	50.6114	104.6
BPALB430-17	CCDB-23846 E02	BOLD:ACF0134	NA	-8.52272	-74.1142
GBGL10013-12	HM051992	BOLD:ACB4679	Oleria	-8.52272	-74.1142
GBGL21595-19	KY649580	BOLD:ADR8261	Altinote	-3.975	-79.125
GBGL29111-19	LT795256	BOLD:AAA3397	Boloria	52.0685	19.4357
GBGL43236-21	MW020505	BOLD:AAA2067	Boloria	64.86	-147.74
GBGL9712-12	HM051691	BOLD:ACE4521	Brevioleria	-8.52272	-74.1142
GBGL9741-12	HM051720	BOLD:AAD3233	Oleria	-8.52272	-74.1142
GBMIN22177-13	JF451051	BOLD:ACF0134	Mechanitis	-6.1318	-76.2687
GBMIN22195-13	JF451015	BOLD:ACF4540	Mechanitis	-4.04	-78.9906
GBMIN70709-17	KP007561	BOLD:AAI9597	Danaus	-7.15691	144.835
KHCGE435-12	YB-KHC12950	BOLD:ABV5225	Cirrochroa	7.53333	99.7833
LEPAR1194-15	MACN-Bar-Lep-ct 07116	BOLD:AAC7292	Actinote	-32.9044	-58.7646
LMAD139-10	AC0139-8034341	BOLD:AAF5003	Telchinia	-22.8421	44.7083
LNOA1029-16	MACN-Bar-Lep-ct 08134	BOLD:AAZ3761	Dione	-27.2977	-65.8459
LNU127-17	AVM_128	BOLD:AAB6318	Tirumala	22.4191	103.852
MHMXE492-06	06-SRNP-1866	BOLD:AAB9301	Tithorea	10.9	-85.373
RDBBC537-05	CSG23045 CA WA	BOLD:ABZ2169	Speyeria	48.578	-119.886
SAMOA028-17	CB_SCRS05	BOLD:AAC5742	Euploea	-13.752	-172.223
SETIU005-16	WWF05	BOLD:AAZ4743	Terinos	5.60695	102.719
WMB706-12	RVcoll.11-H320	BOLD:AAA9312	Brenthis	37.86	14.06
BLPDV6573-18	18-SRNP-30073	BOLD:AAC6546	Ithomia	10.9817	-85.4278
GBGL21846-19	MG210057	BOLD:AAA8568	Dircenna	8.43954	-80.1443
GBGL23993-19	KY750082	BOLD:AAB0608	Pteronymia	8.43954	-80.1443
GBGL28941-19	KY649589	BOLD:ADR3865	Actinote	-4.798	-79.309
GBLN1405-08	EU069111	BOLD:AAD5180	Tithorea	-0.52	-76.4
GBLN1414-08	EU069102	BOLD:AAD3939	Pseudoscada	-0.52	-76.4
GBLN1447-08	EU069069	BOLD:AEX1951	Ithomia	-0.5	-76.37
GBLN1470-08	EU069046	BOLD:AAC7160	Hyposcada	-0.52	-76.4
GBLN1482-08	EU069034	BOLD:AAA8568	Dircenna	-0.5	-76.37
GBLN1506-08	EU069010	BOLD:AAB8303	Napeogenes	-0.5	-76.37
GBLN1523-08	EU068993	BOLD:ACF4280	Mechanitis	-0.5	-76.37
GBLN1548-08	EU068950	BOLD:AAD6385	Scada	-0.52	-76.4
GBLN1604-08	EU068894	BOLD:AAA9199	Napeogenes	-0.52	-76.4
GBLN1635-08	EU068863	BOLD:AAC3055	Melinaea	-0.52	-76.4
GBLN1669-08	EU068829	BOLD:AAD7194	Hypothyris	-0.52	-76.4
GBLN1672-08	EU068826	BOLD:AAE2588	Hypothyris	-0.52	-76.4
GBLN1700-08	EU068798	BOLD:AAC7284	Hypoleria	-0.52	-76.4
GBLN1721-08	EU068777	BOLD:ACF3813	Ceratinia	-0.52	-76.4
GBMIN22111-13	JF451002	BOLD:ACF0124	Mechanitis	-0.4325	-76.1074
GBMIN22829-13	JX261941	BOLD:AAI9595	Danaus	11.16	76.4681
GBMIN70728-17	KP007627	BOLD:ABX5122	Danaus	11.4422	107.338
GBMIN70802-17	KP007714	BOLD:AAA9566	Danaus	19.0611	-70.8593
GBMNE59869-22	MZ026189	BOLD:AAB2322	Argynnis	46.4969	9.9086
GMMDI022-15	BIOUG19176-G07	BOLD:ACT7965	Acraea	-18.9438	48.4316
HBNK627-07	612NK-JB413	BOLD:AAA3397	Boloria	66.81	-136.34
KHCBT1076-16	CCDB0329_C10	BOLD:ADG6179	Vagrans	7.53333	99.7833
LPAB357-08	08BBLEP-02679	BOLD:ABZ0595	Speyeria	50.491	-114.254
NOB081-17	CCDB-23376 G09	BOLD:ACB4679	NA	-9.49528	-75.9669
EZROM055-08	RV-06-N010	BOLD:ACS2433	Boloria	46.767	25.683
GBCAB7237-24	ON586784	BOLD:AAB2344	Fabriciana	56.6001	14.2433
GBGL28925-19	KY649584	BOLD:ADR2153	Actinote	-5.817	-77.967
GBGL29017-19	LT795162	BOLD:AAA3397	Boloria	47.6319	13.7978
GBGL29078-19	LT795223	BOLD:AAA3397	Boloria	59.0394	98.6705
GBGL29081-19	LT795226	BOLD:AAA3397	Boloria	59.0394	98.6705
GBGL29204-19	LC146796	BOLD:AAA9312	Brenthis	36.7674	137.469
GBGL9724-12	HM051703	BOLD:AAZ3773	Heliconius	-8.52272	-74.1142
GBGL9870-12	HM051849	BOLD:AAC3055	Melinaea	-8.52272	-74.1142
GBGL9900-12	HM051879	BOLD:ACE3570	Napeogenes	-8.52272	-74.1142
GBLN1585-08	EU068913	BOLD:AAD3231	Oleria	-0.52	-76.4
