processid	sampleid	bin_uri	genus_name	lat	lon
ASHYF1246-11	DHJPAR0041340	BOLD:AAA9799	Pedinopelte	11.042	-85.403
ASNBA402-15	VM-2014-BSL-0760	BOLD:AAA9337	Dirophanes	48.405	-67.347
BCHYM15777-17	BC-ZSM-HYM-27497-H04	BOLD:ACJ8244	Barichneumon	32.6324	51.368
CNWLG975-12	BIOUG04179-F07	BOLD:AAW9351	NA	49.083	-113.876
COLMS8799-22	BIOUG97729-E11	BOLD:AAH7255	Coelichneumon	38.911	-105.199
CRALB20513-21	BIOUG63928-A10	BOLD:AEP2867	Platylabus	9.015	-83.004
CRALB32976-21	BIOUG63999-B02	BOLD:ADA1146	Setanta	9.015	-83.004
CRALB39584-21	BIOUG72244-F04	BOLD:AEM8697	ichneuMalaise01	9.015	-83.004
CRALC34127-21	BIOUG72905-C04	BOLD:ADO3117	Setanta	9.015	-83.004
CRATA9878-22	BIOUG93691-E09	BOLD:ADA9269	Tricholabus	9.016	-83.004
CRBOB34807-23	CBG-A13266-A07	BOLD:ACZ8587	NA	10.7589	-85.0092
CRBOE3127-23	CBG-A04466-F06	BOLD:ADZ8364	ichneuMalaise01	10.759	-85.009
CRPEC38330-21	BIOUG74775-C01	BOLD:ADB9082	ichneuMalaise01	9.973	-84.094
CRSIA41534-22	BIOUG76541-H02	BOLD:AEM4624	Carinodes	8.478	-83.593
GMGMP8378-18	BIOUG42928-C06	BOLD:ACJ7761	Stenodontus	48.165	11.485
GMMDN1462-15	BIOUG20056-G07	BOLD:ACT5312	NA	-18.9438	48.4316
GMRSV190-15	BIOUG27028-B03	BOLD:ACC6330	Tycherus	43.4858	131.975
JBLRB1355-23	BIOUG99487-F02	BOLD:ACD0579	Ichneumon	46.044	-109.805
JBLRB7126-23	BIOUG99918-A01	BOLD:ACL9662	Dicaelotus	44.745	-111.765
JSHYO942-11	BIOUG01259-H03	BOLD:AAG7633	NA	44.621	-75.773
MBIOI1084-13	BIOUG09513-C12	BOLD:ACK7320	NA	43.528	-80.229
NGAAC759-14	BIOUG12704-C05	BOLD:ACM1187	NA	50.672	-120.533
NZHYM1430-12	NZAC04043571	BOLD:ABX9927	Aucklandella	-45.84	170.521
NZHYM1762-12	NZAC04044414	BOLD:ACB8517	Aucklandella	-45.835	170.453
OPPFM3968-17	BIOUG34818-A03	BOLD:ACE8616	NA	42.2628	-83.0725
OPPFS1104-17	BIOUG35312-F02	BOLD:AAG7732	NA	42.2628	-83.0725
OPPQG290-17	BIOUG34605-G08	BOLD:AAH7276	NA	44.5178	-76.5394
PLAAE008-18	BIOUG44020-A08	BOLD:ADB4475	ichneuMalaise01	10.763	-85.334
PLABA258-18	BIOUG44193-F07	BOLD:ACR7671	ichneuMalaise01	10.763	-85.334
